,company,location,main_sector,subsector,primary,description
10,Abzu,"Barcelona, Barcelona",Digital Health,Predictive Analytics; Artificial Intelligence (AI),,"Founded in January 2018, Abzu is a deep tech startup with offices in Copenhagen, Barcelona and Basel. Abzu’s artificial intelligence, the QLattice, accelerates analysis and insights through transparent and explainable models and inspires data scientists to be more scientific. The aim of the company is to accelerate drug discovery through better drug design and data-informed lead optimization. Researchers use Abzu to understand disease mechanisms and find biomarkers."
11,Accelerate Diagnostics,"Castelldefels, Barcelona",Biotechnology / R&amp;D Services,Diagnostic instrumentation,,"Accelerate Diagnostics is an in vitro diagnostics company engaged in providing microbiology solutions for serious infections. The company develops, Accelerate Pheno® system and Accelerate PhenoTest® BC kit, which combines several technologies to determine the antibiotic therapy for deadly infections. The system and kit fully automate the sample preparation steps to report phenotypic antibiotic susceptibility results in approximately 7 hours directly from positive blood cultures."
12,ACCIÓ Agència per a la competitivitat de l'empresa,"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Governmental organization,,"ACCIÓ is the public agency for the competitiveness of Catalan enterprise, attached to the Ministry of Enterprise and Knowledge of the Generalitat (Government) of Catalonia. ACCIO aims to promote the competitiveness and growth of the Catalan business fabric by promoting innovation, internationalization and by attracting investment."
13,Accure Therapeutics,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Peptides; Small molecules,,Diseases of the nervous system; Mental and behavioural disorders
14,ACEFE,"GAVA, Barcelona",Supplier &amp; Engineering,Distributors; Instrumentation; Laboratory equipment,,"Acefesa is a company dedicated to the distribution of life sciences products and related instruments. The company's products include micropipette , Glass reactors, Distillers, etc."
15,Acellera,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Bioinformatics,,"Acellera is a technology company focused on developing high-throughput molecular dynamics techniques that deliver solutions for estimating common physicochemical properties such as binding affinities, kinetics, poses and pathways with validated accuracy. The company’s R&amp;D program has focused on developing software and hardware solutions that optimize the efficiency and throughput of molecular dynamics simulations."
16,Actelion Pharmaceuticals España,"Barcelona, Barcelona",Supplier &amp; Engineering,Distributors,,"Actelion Pharmaceuticals Ltd. isa Swiss company specializing in biotechnology, focused on the discovery, development and commercialization of innovative treatments to meet medical needs not covered. Actelion Pharmaceuticals España focuses on marketing of drugs for significant unmet medical needs."
17,Acteon Medico-Dental Iberica,"SENTMENAT, Barcelona",Supplier &amp; Engineering,Medical devices,,"Acteon Group is specialized in small dental equipment, imaging and consumables. The Group is active in the European, Asian and American dental markets. Acteon Medico-Dental Iberica is a marketing subsidiary."
18,Active Medical Disposable,"Mataró, Barcelona",Supplier &amp; Engineering,Medical devices,,Activ Medical Disposable is a company which manufactures and markets absorbent incontinence products. The company offers a range of urinary incontinence protection products for men and women. Activ Medical Disposables serves customers in France.
19,Active Venture Partners,"Barcelona, Barcelona",Investors,Venture capital fund,,"Active Venture Partners is a European venture capital company focused on positively disrupting its traditional sector. With a presence in Spain, Germany and Scandinavia, Active targets entrepreneurial teams driving digital start-ups and seeking  partnerships based on shared values and pro-active support. Start-up founders connect to the community to engage with sector specialists, growth experts and senior advisors."
20,Acuidad,"Barcelona, Barcelona",Professional Services and Consulting,Other; Management consulting; Operations/Health &amp; safety/Purchasing,,"Acuidad Consultoría works in change management, digital transformation and customer experience. The company supports scientific research and incorporate the latest developments in patient experience, clinical management and digital transformation."
21,Adacyte Therapeutics,"Sant Cugat del Vallès, Barcelona",Biotechnology - Therapeutics and Diagnostics,Cell therapy,"Diseases of the blood, immune disorders",Adacyte Therapeutics is a pioneering company committed to the development and commercialization of unique and innovative therapeutic solutions for the treatment of complex diseases.
22,Adan Medical Innovation,"Barcelona, Barcelona",Medical Technology,Other; Delivery devices,"Diseases of the blood, immune disorders","Adan Medical Innovation is a company focused on the development of disruptive integrated digital solutions to improve the management of anaphylaxis, a severe allergic reaction that compromises life within minutes."
23,ADAPT Localization Services,"Barcelona, Barcelona",Professional Services and Consulting,Translation services,,"ADAPT Localization offers a full range of translation and localization services for a great variety of languages. They specialize in medical and life sciences (medical devices, diagnostics, pharmaceuticals, analytics, etc.) and IT."
24,AdaptiveCity,"PRAT DE LLOBREGAT, EL, Barcelona",Digital Health,Mobile Fitness / Health Apps,,"Adaptivecity is Barcelona-based startup designing and developing clear and fluid cross-channel experiences for smart citizens. The company has launched Familyar, an app to prevent loneliness and social isolation of older adults by deeply involving families and health services into the caregiving process. Familyar uses technology to foster and scale social innovation moving from an individual model of care to a network model of care. Familyar helps families, Town Councils, healthcare and social services to keep older adults in their community longer decreasing demand on the system."
25,AddVANTE Economists &amp; Lawyers,"Barcelona, Barcelona",Professional Services and Consulting,Business development; Legal services,,"An association of economists and lawyers established at the beginning of the 1990s. We offer comprehensive, coordinated services in relation to strategy, legal matters, taxation and finance, based on a multidisciplinary perspective."
26,AddVANTE M&amp;A,"Barcelona, Barcelona",Professional Services and Consulting,Other; Deal arranger; Financial services,,"AddVANTE is an internationally oriented professional services firm providing legal and financial counselling with offices in Barcelona and Madrid. The company's professionals specialize in different areas of economic and financial Consulting, Law, Tax, Audit and M&amp;A."
27,Adecco Medical &amp; Science,"Barcelona, Barcelona",Professional Services and Consulting,Other; Human resources services,,"The Adecco Group provides HR services for the medical, science, pharmaceutical and biotechnology industries such as search and selection services of specialized profiles, specialized training and HR consulting with a proven know-how within each area."
28,Adelphi,"Barcelona, Barcelona",Professional Services and Consulting,Market research,,"Adelphi (Spain) is dedicated to providing integrated research and communications solutions to Spanish-based, healthcare companies. The company develops the strategic and scientific platform for healthcare brands so that patients and the general public can have access to the medications and products that best contribute to their health and well-being."
29,Adiccare,"Barcelona, Barcelona",Digital Health,Mobile Fitness / Health Apps; Patient Engagement,Mental and behavioural disorders,"ADICCARE is the first technological platform for monitoring people with drug addiction aiming to reduce the risk of relapse.ADICCARE platform includes management software for rehab centres and therapists as well as an APP for patients.It enables rehab centres to monitor the progress of their former patients and to improve their outcomes. Similarly, ADCCARE is a tool that reminds patients that they are under therapy motivating them to be sober."
30,Adiemed,"CERDANYOLA DEL VALLES, Barcelona",Supplier &amp; Engineering,Medical devices,,"Adiemed, SL is a company focused on marketing of medical equipment and supplies. The company's product includes: Haeberle system, defibrillator samaritan, elcetrobisturi, etc."
31,Adienne Spain,"SANT FELIU DE LLOBREGAT, Barcelona",Biotechnology - Therapeutics and Diagnostics,Antibodies; Other,,"Diseases of the blood, immune disorders"
32,ADKNOMA Health Research,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,CRO (Contract Research Organization),,"ADKNOMA Health Research is a full-service  contract research organization focused on the development of national (Spain) and international clinical trials. The company has the capacity to develop any clinical research project, whether trials (Phase I-IV) or cross-sectional or observational studies."
33,ADmit Therapeutics,"Begues, Barcelona",Medical Technology,In vitro diagnostic devices,Mental and behavioural disorders,ADmit Therapeutics is focused on the development and commercialization of a novel Alzheimer’s disease (AD) early detection technology. Spin-off of Institut d'Investigació Biomèdica de Bellvitge (IDIBELL).
34,AdSalutem Institute,"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Private clinic,,"AdSalutem Institute aims to manage sleep medicine knowledge in all stages to offer a unique and highly specialized interdisciplinary approach. The strategy lies in generating, applying and disseminating expert knowledge of sleep medicine to suport and empower medical researchers, healthcare professionals, patients and citizens via four key lines of activity: Research, Education, Patient Care and Awareness Building."
35,Advanced Accelerator Applications Iberica,"Esplugues de Llobregat, Barcelona",Supplier &amp; Engineering,Distributors,,"Advanced Accelerator Applications Iberica is a radiopharmaceutical company that commercializes molecular nuclear medicine, or MNM, products."
36,Advanced Digital Microscopy Core Facility (IRB),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Research facility,,"The Advanced Digital Microscopy (ADM) Core Facility is committed to providing a complete range of light microscopy imaging systems and techniques to researchers at IRB Barcelona and other institutions at the Barcelona Science Park (PCB), and visiting scientists. The facility provides full-time access to state-of-the-art conventional and laser-based microscopes, as well as assistance in advanced imaging techniques for image processing, and data interpretation and presentation."
37,Advanced Light Microscopy Unit (CRG),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Research facility,,"Advanced Light Microscopy Unit aim's to provide instruments covering the whole application spectrum of advanced light microscopy and to make them available to researchers from the CRG as well as for visitors from other research institutions. As Core Facility for light microscopy, the unit provides a number of advanced light microscopy systems, equipment for sample preparation and maintenance prior to imaging and resources for the subsequent processing of the image data."
38,AEC Partners,"Barcelona, Barcelona",Professional Services and Consulting,Business development; Management consulting; Market access,,"AEC Partners is a management and financial consulting boutique focused on Strategy, Organization, Market Access and M&amp;A / Business Development Advisory to Pharmaceuticals, Healthcare and Life Sciences Industries."
39,Aelix Therapeutics,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Anti-infectives; Gene therapy; Vaccines,Infectious and parasitic diseases,"AELIX Therapeutics is a clinical-stage biotechnology company based in Barcelona, Spain. The company is focused on the development of a therapeutic HIV vaccine to be included in cure/eradication strategies. The company is a spin-off of Hospital Clínic de Barcelona, Institut de Recerca de la Sida (IrsiCaixa) and Institució Catalana de Recerca i Estudis Avançats (ICREA)."
40,Aeris Tecnologías Ambientales,"BELLATERRA, Barcelona",Biotechnology - other,Other; Environmental; Industrial Biotechnology,,"AERIS Tecnologías Ambientales (Environmental Technologies) S.L. is a company whose main activity is the design and development of biological reactors for the treatment of wastewaters and gases. AERIS is specialized in improving the quality of liquid and gaseous effluents by means of ad hoc biological technologies. The organisation has unique, tested, products for the correction of virtually any environmental problem related to the generation of waste waters or gases. Also, AERIS offers a wide variety of environmental services. Spin-off of Universitat Autònoma de Barcelona (UAB)."
41,Aether Tech,"Barcelona, ",Digital Health,Remote Monitoring; Artificial Intelligence (AI),Respiratory,EMILY is an eHealth start-up for treating and monitoring respiratory patients
42,Afferent Technologies,"Bellaterra, Barcelona",Medical Technology,Electro mechanical medical devices,Diseases of the nervous system,"Afferent Technologies develops novel instrumentation for neuroscience and neurology. The company serves the medical and research communities in their efforts to diagnose, understand and protect axon/nerve function. The company's clinical product line is led by the WiNerve4 system, an evoked potentials workstation for intraoperative neuromonitoring of the laryngeal nerve during thyroid surgery."
43,Affirma Biotech,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Antibodies; Anti-infectives; Vaccines,Infectious and parasitic diseases,Affirma Biotech is a biotech company which develops the product of multiple drug resistant infections.
44,Afinitica,"BELLATERRA, Barcelona",Supplier &amp; Engineering,APIs and excipients,,Spin-off of Henkel Ibérica. We are the first company with a dedicated focus on instant adhesives. Our team comprises an eclectic mix of talents with a shared passion to grow business and create new possibilities in the area of cyanoacrylate adhesives.
45,Agència de Salut Pública de Catalunya (ASPCAT),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Governmental organization,,"Agència de Salut Pública de Catalunya (ASPCAT) is responsible for the promotion and protection of health, the prevention and management of epidemiological and food alerts, as well as for occupational health in Catalonia. The agency's services are aimed at citizens, the local world and key economic sectors such as food, commerce, industry or tourism, and are primarily aimed at managing environmental risks for health, promoting of healthy lifestyles, as well as the promotion of the responsibility of people and economic operators on the impact of their actions on individual and collective health and on the use of health services."
46,Agència per a la Qualitat del Sistema Universitari de Catalunya (AQU),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Governmental organization,,"The Catalan University Quality Assurance Agency, AQU Catalunya, is the main instrument for the promotion and assurance of quality in the Catalan higher education system. AQU Catalunya is entrusted with the assessment, accreditation and certification of quality in the universities and higher education institutions in Catalonia."
47,Agromillora Catalana,"SUBIRATS, Barcelona",Biotechnology - other,AgBio,,"Agromillora Catalana SA is a nursery dedicated to the production and commercialization of plants. The company is the global platform propagating woody species for agriculture, offering an ideal meeting place for the global community of breeders and producers."
48,Agrprojects,"Barcelona, Barcelona",Professional Services and Consulting,Other; Business development; Management consulting; Operations/Health &amp; safety/Purchasing; Technology transfer; Drug Development Consulting,,"Agrprojects is a company that focuses on project management training, interim and advisory for biotechnology, pharma and health organizations."
49,Aguettant Ibérica,"Barcelona, Barcelona",Pharma,Drug delivery,Cardiovascular,"Aguettant Ibérica is the Spanish subsidiary of Laboratoire Aguettant, pharmaceutical company dedicated to the development, manufacturing and commercialization of essential hospital medicines and duly recognized player in the development of injectable drugs in critical care, anesthesiology, micronutrients and neurology."
50,Ahead Therapeutics,"Cerdanyola del Valles, Barcelona",Biotechnology - Therapeutics and Diagnostics,Cell therapy,"Diseases of the blood, immune disorders","Ahead Therapeutics is a biotech company that uses a proprietary technology to develop treatments for auto-immune disorders. The company has developed a solution based on the use of PS-liposomes containing auto-autoantigens. Through a biomimetic process, these liposomes can induce antigen specific immune tolerance, thereby interrupting the autoimmune reaction. Ahead is a spin-off of Institut Català de Nanociència i Nanotecnologia (ICN2), Institut d'Investigació en Ciències de la Salut Germans Trias i Pujol (IGTP) and Institució Catalana de Recerca i Estudis Avançats (ICREA)"
51,Aimentia Healthtech,"Barcelona, Barcelona",Digital Health,Remote Monitoring,Mental and behavioural disorders,"Standardization of clinical psychology through Artificial Intelligence (AI). Aimentia collects the user experience to provide a constant flow of data improving the capacity and efficiency of therapy providing diagnostic suggestions, metrics, data-based solutions and objectiveness"
52,Airmedical Products,"Barcelona, Barcelona",Supplier &amp; Engineering,Medical devices,,"Airmedical Products SL is a distribution company focused on respiratory field, with special emphasis in Home Care therapies and Spirometry. The company is the agent of companies, like Covidien (for Home Care segment), Hill-Rom, etc."
53,Airpharm,"Barcelona, Barcelona",Professional Services and Consulting,Other,,"Airpharm is a freight company in continuous growth that offers freight services, international, import and export, logistics, warehousing and distribution, customs services and customs warehousing, logistics outsourcing, foreign and technical trade advice, specialized in the chemical-pharmaceutical, cosmetic, veterinary and food supplements sector."
54,AIS Channel,"Barcelona, Barcelona",Digital Health,Telehealth,,"Spin-off of Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS). AIS was created to share the latest changes in surgical techniques with working professionals in the scientific community, as well as to train tomorrow’s professionals."
55,Albajuna Therapeutics,"Badalona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Antibodies,Infectious and parasitic diseases,AlbaJuna Therapeutics SL develops and manufactures therapeutic antibodies against HIV. Spin-off of Institut de Recerca de la Sida (IrsiCaixa).
56,Alchemlife,"Barcelona, Barcelona",Pharma,Drug delivery,"Genitourinary system; Endocrine, nutritional, metabolic diseases; Musculoskeletal system, connective tissue","Founded in 1935, Alchem ​​International is a pioneer in the phytoceuticals industry, supplying plant-derived active pharmaceutical ingredients to the pharmaceutical, cosmetic and nutraceutical industries in 35 countries. AlchemLife® was established in 1984 as the natural medicine and dietary supplements division, supplying clinically tested and recommended dietary supplements for the joints, prostate, liver and immune system."
57,Alcon,"Cornellà de Llobregat, Barcelona",Medical Technology,Ophthalmic and optical devices,,"Alcon Healthcare, SA manufactures and markets contact lenses and ophthalmic surgery products. The company offers surgical products, which include technologies and devices for cataract, retinal, glaucoma, and refractive surgery."
58,Alcura Health,"Terrassa, Barcelona",Biotechnology / R&amp;D Services,CRO (Contract Research Organization),,"At Alcura we offer comprehensive support in all phases of clinical trials and we also work with patients, through programmes for hospitals and companies, offering them support and help with their treatments."
59,Aldo-Union,"ESPLUGUES DE LLOBREGAT, Barcelona",Pharma,Drug delivery; Other,"Genitourinary system; Infectious and parasitic diseases; Musculoskeletal system,connective tissue; Respiratory","Laboratorio ALDO-UNIÓN, S.A. manufacture and commercialize a wide range of medicinal products, both of its own and under license. The company's products include MUCONEB 3%, BUDENA 0,25 mg/ml, AMBROXOL ALDO-UNIÓN, 15mg/2ml, BROMURO DE IPRATROPIO 250mcg, etc."
60,Alexion Pharma Spain,"Barcelona, Barcelona",Supplier &amp; Engineering,Distributors,,"Alexion is a biopharmaceutical company focused on serving patients with severe and rare disorders through development and commercialization of life-transforming therapeutic products. Alexion Pharma Spain SL distributes pharmaceutical products, prescription drugs, proprietary drugs, and toiletries."
61,Alfasigma,"Barcelona, Barcelona",Pharma,Generics; Other,"Cardiovascular; Digestive system; Injury, poisoning, other external causes; Musculoskeletal system,connective tissue; Skin and subcutaneous tissue; Other symptoms,deviant clinical findings","Alfasigma is a pharmaceutical laboratory which manufactures and distributes pharmaceutical products. The company offers products for digestive system, cardiology, vascular, dermatology, osteomuscular, wounds and burns, ulcers, and pressure ulcers."
62,Algaktiv,"Barcelona, Barcelona",Biotechnology - other,Cosmetics,,Sustainable skincare actives for beauty and personal care.
63,Alifarm,"LLIÇA DE VALL, Barcelona",Biotechnology - other,Other; Food; Nutraceuticals,Diseases of the eye; Genitourinary system; Infectious and parasitic diseases; Respiratory; Skin and subcutaneous tissue,"ALIFARM, S.A. is a contract manufacturing pharmaceutical company that manufactures pharmaceutical products, food supplements and probiotics."
64,AliNyMA Alimentación Nutrición y Medio Ambiente,"Sant Cugat del Vallés, Barcelona",Supplier &amp; Engineering,Production engineering,,"AliNyMA Food Nutrition and Environment SL is a company of R+D+I born under the idea to serve to any company from the food processing and transformation, including the nutrition, and the environment. The origin of the company is based in people formed in research at European universities and at the Autonomous University of Barcelona. The company's main target is to work next to the customers to solve its necessities of innovation."
65,Alira Health,"Barcelona, Barcelona",Professional Services and Consulting,Other; Business development,,"Alira Health is a firm offering advisory services to healthcare companies. The company provides product development, regulatory, clinical, strategy consulting, and transaction advisory services. The company serves pharmaceutical, life science, medical technology, and healthcare IT markets."
66,Allergeneat,"Vilafranca del Penedes, Barcelona",Digital Health,Mobile Fitness / Health Apps,,Allergeneat is a mobile app that solves the problem of people with food allergies or food intolerances.
67,Allergy Therapheutics Iberica,"ESPLUGUES DE LLOBREGAT, Barcelona",Supplier &amp; Engineering,Distributors,,"Allergy Therapeutics Iberica is a subsidiary of Allergy Therapeutics (United Kingdom), multinational biotechnology company specialized in the development of innovative therapies for the treatment and prevention of allergies. The company specializes in research, development and marketing of vaccines for immunotherapy as well as other solutions to allergy problems."
68,Allinone Healthpro,"Barcelona, Barcelona",Digital Health,Other; Healthcare Mobile Communication,,"AIO HealthPro develops software solutions to help doctors manage, market and grow their practice. First and only Omnichannel platform All in One Doctors that provides commercial and marketing teams of pharmaceutical laboratories with an effective tool to strengthen their relationship with doctors, in a respectful and safe environment."
69,Alma Medical Imaging,"Barcelona, Barcelona",Digital Health,E-Medical Record / E-health Record,,Alma Medical Imaging develops digital solutions for the healthcare ecosystem based on digital medical imaging.
70,"Almirall (HQ, Barcelona)","Barcelona, Barcelona",Pharma,Small molecules,Skin and subcutaneous tissue,"Almirall, S.A., a pharmaceutical company, engages in the research, development, manufacture, and sale of skin-health related medicines worldwide. The company focuses on development and marketing of drugs applied in various therapeutic areas, such as nervous system, gastrointestinal, dermatological, respiratory system, antiinfectives, as well as antineoplastic and immunomodulating agents. The company's products include Akneroxid, Astudal, Balneum, Carboximetilcisteine, etc."
71,Almus Farmaceutica,"PRAT DE LLOBREGAT, EL, Barcelona",Pharma,Generics,,"Almus Farmaceutica is engaged in the administration and distribution of generic drugs. The company has also launched a  patient-safe packaging design . The company is focused on the following therapeutic areas: antineoplastic agents, anti-infectives, digestive and metabolism system, genital urinary system, hypolipemiant, cardiovascular system, musculoskeletal system, nervous system and respiratory system."
72,Alta Life Sciences,"Barcelona, Barcelona",Investors,Venture capital fund,,"Alta Life Sciences is a multistage venture capital investment firm. The company will invest in companies at all stages of development: from seed financing through commercial growth. The company invests in all areas of life sciences including biotechnology, medical devices, diagnostics, genomics and digital health."
73,Alta Medical Services,"Barcelona, Barcelona",Professional Services and Consulting,Management consulting; IT services,,"Alta Medical Services is a specialized consulting firm on Medical Compliance affairs which provides a full range of customised guidance, advice, support and solutions to health science companies along the whole life-cycle of new medicines, devices and programs."
74,Altaquimica,"Barcelona, Barcelona",Supplier &amp; Engineering,Other; Distributors; APIs and excipients,,"Altaquímica is a distribution company of ingredients and additives to the pharmaceutical, food, and nutraceutical industries. The company is involved in offering a wide range of pharmaceutical veterinary preparations, veterinary products."
75,Alteraid,"CASTELLDEFELS, Barcelona",Digital Health,Mobile Fitness / Health Apps,,"Alteraid offers solutions to enhance people's quality of life, such as T'Activa (https://casala.casa/), which lessens older people's feelings of isolation."
76,Alter-Entorn,"BENISSANET, Tarragona",Biotechnology - other,Environmental,,"Alter Entorn offers microbiological technology and solutions for agriculture, composting plants, waste water treatment plants, chemical, cleaning and animal food industries and advice and supplies of animal feed."
77,Amalfi Analytics,"Barcelona, Barcelona",Digital Health,Medical Big Data &amp; analytics,,"Amalfi Analytics provides analytic tools for planners and managers in healthcare to understand their true problems, and help them put resources where they are needed most. The company's platform includes modules for chronic disease management, emergency service predictive management, absenteeism prediction, and territorial plannings. It originated as a spin-off of Universitat Politècnica de Catalunya (UPC)."
78,Amapex,"Barcelona, Barcelona",Biotechnology - other,Environmental,,"Amapex Environement SL are experts developing biotechnology for industrial application, based in Spain and with international coverage. The company design customized biotechnological systems for each type of industry and according to their needs, using own methodology and technology and offer personalized biotechnology services for: Industrial wastewater treatment, biogas production. The company's products include Eurakua, Hyperbios 1, Hyperbios 2,  Hyperbios 3, etc."
79,Amaris Consulting &amp; Innovation,"Barcelona, Barcelona",Professional Services and Consulting,Reimbursement &amp; Pricing; Sales &amp; Marketing,,"Amaris is an International Consulting Group which provides services to biotechnological and pharmaceutical companies to support services and products to maintain competitiveness and generate new projects. The activity of the company is based on the following five areas of expertise: Business &amp; Management, Systems and Information Technology, Engineering and High Tech, Telecommunications, Biotechnology and Pharmacy. The company provides  technical solutions to all levels of the value chain from clinical research to administrative and commercial management of projects as part of research and development of new technologies in the health-care sector."
80,"Ambit BST (HQ, Barcelona)","Barcelona, Barcelona",Professional Services and Consulting,IT services,,"Ambit BST focuses on the delivery of services and technological solutions for the business sector, ensuring compliance with market standards, and especially the Life Science industry."
81,Amedyn Healthcare,"Barcelona, Barcelona",Professional Services and Consulting,Business development; Deal arranger; Market access; Sales &amp; Marketing; Drug Development Consulting,,"Amedyn Healthcare develops products which are hypoallergenic for babies. The company's goals are to achieve formulas designed to improve the experience of customers and help improve skin problems, both for the baby and the adult."
82,Amelia Virtual Care,"Barcelona, Barcelona",Digital Health,Mobile Fitness / Health Apps; Patient Engagement,Mental and behavioural disorders,"Psious, is a behavioral health technology company whose main product is the PsiousToolsuite, a virtual reality platform aimed at bringing value to mental health treatment. The platform provides mental health professionals with animated and live environments they can use in their clinical practice. The company's technology is helping patients face and confront uncomfortable situations to cope with their fears, enabling professionals to improve mental health therapies."
83,Amgen,"Barcelona, Barcelona",Supplier &amp; Engineering,Other; Distributors,,"Amgen S.A. operates as a distributor of Amgen, Inc. Amgen started its activity in Spain in 1990 to become the leading biopharmaceutical company in the country and, three decades later, that is a more than consolidated objective. The company involved in improving the quality of life of patients, but also work with the public health administration and professionals to find better solutions to the current problems of the National Health System."
84,AMP biotech,"Girona, Girona",Biotechnology - Therapeutics and Diagnostics,Anti-infectives; Peptides,,Infectious and parasitic diseases
85,Anaconda BioMed,"Sant Cugat del Vallés, Barcelona",Medical Technology,Reusable instruments,Cardiovascular,Anaconda BioMed is developing the next generation of catheters to perform mechanical thrombectomies. The company's product the Advanced Thrombectomy System (ANCD) is a novel stroke thrombectomy device designed to reduce clot fragmentation and facilitate retrieval by inducing local flow arrest and allowing distal aspiration in combination with a stent retriever.
86,Anagram-ESIC,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Other; CRO (Contract Research Organization); Synthesis services,Cardiovascular,"Anagram-ESIC S.L. is a Clinical Research Organisation (CRO) which provides services in the clinical development and post-authorisation processes of drugs and medical devices. ogether with our partner, IEC, the company offers full CRO national and international services including image central reading (core lab), analysis and reporting by professionals."
